,Mountain,cleaned_names,name,link
0,"Ann, Mount ",ann,,
1,"Baker, Mount ",baker,Mount Baker,peak.aspx?pid=1633
2,"Baker, Mount ",baker,Baker Mountain,peak.aspx?pid=56103
3,Bedal Peak,bedal,Bedal Peak,peak.aspx?pid=1800
4,Big Devil Peak,bigdevil,Big Devil Peak,peak.aspx?pid=24813
5,Black Peak,black,Black Peak,peak.aspx?pid=1830
6,"Blum, Mt",blum,Mount Blum,peak.aspx?pid=1640
7,"Buckner, Mount ",buckner,Mount Buckner,peak.aspx?pid=1852
8,"Challenger, Mount ",challenger,Mount Challenger,peak.aspx?pid=1650
9,Circle Peak,circle,Circle Peak,peak.aspx?pid=25588
10,Coleman Pinnacle,colemanpinnacle,Coleman Pinnacle,peak.aspx?pid=25965
11,Colonial Peak,colonial,Colonial Peak,peak.aspx?pid=1838
12,Columbia Peak,columbia,Columbia Peak,peak.aspx?pid=1813
13,Columbia Peak,columbia,Columbia Mountain,peak.aspx?pid=25177
14,Corteo Peak,corteo,Corteo Peak,peak.aspx?pid=1832
15,Crater Peak,crater,Crater Mountain,peak.aspx?pid=1701
16,Cutthroat Peak,cutthroat,Cutthroat Peak,peak.aspx?pid=1718
17,Del Campo Peak,delcampo,Del Campo Peak,peak.aspx?pid=1808
18,Desolation Peak,desolation,Desolation Peak,peak.aspx?pid=1688
19,Dock Butte,dockbutte,Dock Butte,peak.aspx?pid=1623
20,Dome Peak,dome,Dome Peak,peak.aspx?pid=1886
21,Eldorado Peak,eldorado,Eldorado Peak,peak.aspx?pid=1846
22,"Erie, Mount ",erie,Mount Erie,peak.aspx?pid=772
23,Fisher Peak,fisher,Fisher Peak,peak.aspx?pid=1826
24,Forbidden Peak,forbidden,Forbidden Peak,peak.aspx?pid=1849
25,Fortress Mountain,fortress,Fortress Mountain,peak.aspx?pid=1981
26,Gee Point,geepoint,Gee Point,peak.aspx?pid=24588
27,Glacier Peak,glacier,Glacier Peak,peak.aspx?pid=1972
28,Green Mountain,green,Green Mountain,peak.aspx?pid=1060
29,Green Mountain,green,Green Mountain,peak.aspx?pid=1862
30,Green Mountain,green,Green Mountain,peak.aspx?pid=2084
31,Green Mountain,green,Green Mountain,peak.aspx?pid=24727
32,Hidden Lake Peaks,hiddenlakes,,
33,Hurricane Peak,hurricane,Hurricane Peak,peak.aspx?pid=25517
34,Hurry-up Peak,hurry-up,Hurry-Up Peak,peak.aspx?pid=1869
35,Jack Mountain,jack,Jack Mountain,peak.aspx?pid=1699
36,Jumbo Mountain,jumbo,Jumbo Mountain,peak.aspx?pid=19110
37,Jumbo Mountain,jumbo,Jumbo Peak,peak.aspx?pid=24842
38,Jumbo Mountain,jumbo,Jumbo Mountain,peak.aspx?pid=24944
39,Kyes Peak,kyes,Kyes Peak,peak.aspx?pid=1812
40,Le Conte Mountain,leconte,Le Conte Mountain,peak.aspx?pid=1875
41,Little Devil Peak,littledevil,Little Devil Peak,peak.aspx?pid=24784
42,Little Mountain,little,,
43,"Logan, Mount ",logan,Mount Logan,peak.aspx?pid=1828
44,Lookout Mountain,lookout,Lookout Mountain,peak.aspx?pid=1621
45,Lookout Mountain,lookout,Lookout Mountain,peak.aspx?pid=24595
46,Luna Peak,luna,Luna Peak,peak.aspx?pid=1651
47,Park Butte Lookout,parkbuttelookout,,
48,"Prophet, Mt",prophet,Mount Prophet,peak.aspx?pid=1649
49,"Pugh, Mount ",pugh,Mount Pugh,peak.aspx?pid=1974
50,Ruby Mountain,ruby,Ruby Mountain,peak.aspx?pid=1814
51,Ruby Mountain,ruby,Ruby Mountain,peak.aspx?pid=69188
52,Ruth Mountain,ruth,Mount Ruth,peak.aspx?pid=2292
53,Ruth Mountain,ruth,Ruth Mountain,peak.aspx?pid=1627
54,Ruth Mountain,ruth,Ruth Peak,peak.aspx?pid=970
55,Sahale Peak,sahale,Sahale Peak,peak.aspx?pid=1854
56,Sauk Mountain,sauk,Sauk Mountain,peak.aspx?pid=24532
57,Sentinel Peak,sentinel,Sentinel Peak,peak.aspx?pid=925
58,Sentinel Peak,sentinel,Sentinel Peak,peak.aspx?pid=1879
59,Sentinel Peak,sentinel,Sentinel Mountain,peak.aspx?pid=43804
60,"Shuksan, Mount ",shuksan,Mount Shuksan,peak.aspx?pid=1630
61,Sloan Peak,sloan,Sloan Peak,peak.aspx?pid=1803
62,Snowfield Peak,snowfield,Snowfield Peak,peak.aspx?pid=1840
63,Snowking Mountain,snowking,Snowking Mountain,peak.aspx?pid=1857
64,Sourdough Mountain,sourdough,Sourdough Mountain,peak.aspx?pid=1661
65,Sourdough Mountain,sourdough,Sourdough Mountain,peak.aspx?pid=893
66,Sourdough Mountain,sourdough,Sourdough,peak.aspx?pid=-26589
67,Sourdough Mountain,sourdough,Sourdough Peak,peak.aspx?pid=-28614
68,"Spickard, Mount ",spickard,Mount Spickard,peak.aspx?pid=1610
69,"Torment, Mount ",torment,Mount Torment,peak.aspx?pid=1848
70,Trappers Peak,trappers,Trappers Peak,peak.aspx?pid=25514
71,Tricouni Peak,tricouni,Tricouni Peak,peak.aspx?pid=1842
72,"Triumph, Mount ",triumph,Mount Triumph,peak.aspx?pid=1642
73,"Watson, Mount ",watson,Mount Watson,peak.aspx?pid=24228
74,West McMillan Spire,westmcmillanspire,,
75,White Chuck Mountain,whitechuck,White Chuck Mountain,peak.aspx?pid=1787
