Mountain,cleaned_names,name,link
"Ann, Mount ",ann,Mount Ann,peak.aspx?pid=24837
"Baker, Mount ",baker,Mount Baker,peak.aspx?pid=1633
Bedal Peak,bedal,Bedal Peak,peak.aspx?pid=1800
Big Devil Peak,bigdevil,Big Devil Peak,peak.aspx?pid=24813
Black Peak,black,Black Peak,peak.aspx?pid=1830
"Blum, Mt",blum,Mount Blum,peak.aspx?pid=1640
"Buckner, Mount ",buckner,Mount Buckner,peak.aspx?pid=1852
"Challenger, Mount ",challenger,Mount Challenger,peak.aspx?pid=1650
Circle Peak,circle,Circle Peak,peak.aspx?pid=25588
Coleman Pinnacle,colemanpinnacle,Coleman Pinnacle,peak.aspx?pid=25965
Colonial Peak,colonial,Colonial Peak,peak.aspx?pid=1838
Columbia Peak,columbia,Columbia Peak,peak.aspx?pid=1813
Corteo Peak,corteo,Corteo Peak,peak.aspx?pid=1832
Crater Peak,crater,Crater Mountain,peak.aspx?pid=1701
Cutthroat Peak,cutthroat,Cutthroat Peak,peak.aspx?pid=1718
Del Campo Peak,delcampo,Del Campo Peak,peak.aspx?pid=1808
Desolation Peak,desolation,Desolation Peak,peak.aspx?pid=1688
Dock Butte,dockbutte,Dock Butte,peak.aspx?pid=1623
Dome Peak,dome,Dome Peak,peak.aspx?pid=1886
Eldorado Peak,eldorado,Eldorado Peak,peak.aspx?pid=1846
"Erie, Mount ",erie,Mount Erie,peak.aspx?pid=772
Fisher Peak,fisher,Fisher Peak,peak.aspx?pid=1826
Forbidden Peak,forbidden,Forbidden Peak,peak.aspx?pid=1849
Fortress Mountain,fortress,Fortress Mountain,peak.aspx?pid=1981
Gee Point,geepoint,Gee Point,peak.aspx?pid=24588
Glacier Peak,glacier,Glacier Peak,peak.aspx?pid=1972
Green Mountain,green,Green Mountain,peak.aspx?pid=1862
Hidden Lake Peaks,hiddenlakes,Hidden Lake Peaks,peak.aspx?pid=1847
Hurricane Peak,hurricane,Hurricane Peak,peak.aspx?pid=25517
Hurry-up Peak,hurry-up,Hurry-Up Peak,peak.aspx?pid=1869
Jack Mountain,jack,Jack Mountain,peak.aspx?pid=1699
Jumbo Mountain,jumbo,Jumbo Mountain,peak.aspx?pid=19110
Kyes Peak,kyes,Kyes Peak,peak.aspx?pid=1812
Le Conte Mountain,leconte,Le Conte Mountain,peak.aspx?pid=1875
Little Devil Peak,littledevil,Little Devil Peak,peak.aspx?pid=24784
Little Mountain,little,Little Mountain,peak.aspx?pid=25612
"Logan, Mount ",logan,Mount Logan,peak.aspx?pid=1828
Lookout Mountain,lookout,Lookout Mountain,peak.aspx?pid=24595
Luna Peak,luna,Luna Peak,peak.aspx?pid=1651
Park Butte Lookout,parkbuttelookout,Park Butte Lookout,peak.aspx?pid=24596
"Prophet, Mt",prophet,Mount Prophet,peak.aspx?pid=1649
"Pugh, Mount ",pugh,Mount Pugh,peak.aspx?pid=1974
Ruby Mountain,ruby,Ruby Mountain,peak.aspx?pid=1814
Ruth Mountain,ruth,Ruth Mountain,peak.aspx?pid=1627
Sahale Peak,sahale,Sahale Peak,peak.aspx?pid=1854
Sauk Mountain,sauk,Sauk Mountain,peak.aspx?pid=24532
Sentinel Peak,sentinel,Sentinel Peak,peak.aspx?pid=1879
"Shuksan, Mount ",shuksan,Mount Shuksan,peak.aspx?pid=1630
Sloan Peak,sloan,Sloan Peak,peak.aspx?pid=1803
Snowfield Peak,snowfield,Snowfield Peak,peak.aspx?pid=1840
Snowking Mountain,snowking,Snowking Mountain,peak.aspx?pid=1857
Sourdough Mountain,sourdough,Sourdough Mountain,peak.aspx?pid=1661
"Spickard, Mount ",spickard,Mount Spickard,peak.aspx?pid=1610
"Torment, Mount ",torment,Mount Torment,peak.aspx?pid=1848
Trappers Peak,trappers,Trappers Peak,peak.aspx?pid=25514
Tricouni Peak,tricouni,Tricouni Peak,peak.aspx?pid=1842
"Triumph, Mount ",triumph,Mount Triumph,peak.aspx?pid=1642
"Watson, Mount ",watson,Mount Watson,peak.aspx?pid=24228
West McMillan Spire,westmcmillanspire,West McMillan Spire,peak.aspx?pid=1658
White Chuck Mountain,whitechuck,White Chuck Mountain,peak.aspx?pid=1787
